"Ticker","Nome","Negócios","Última (R$)","Variação"
"CXSE3","Caixa Seguridade","2.259.600","14,92","-0,07%"
"GMAT3","Grupo Mateus","2.248.400","6,34","-0,63%"
"BRAP4","Bradespar","2.199.700","17,10","+0,23%"
"TEND3","Construtora Tenda","2.163.100","23,72","+1,76%"
"CSMG3","COPASA","2.144.800","33,57","+0,60%"
"QUAL3","Qualicorp","2.126.600","2,25","-0,88%"
"MLAS3","Multilaser","2.125.800","0,99","+0,00%"
"ENGI11","Energisa","2.105.300","47,92","-0,81%"
"PGMN3","Pague Menos","2.068.200","3,50","-2,51%"
"ISAE4","ISA Energia","2.019.800","23,89","-0,13%"
"RCSL4","Recrusul","2.017.200","1,20","-0,83%"
"VIVA3","Vivara","2.017.100","27,08","-0,18%"
"GGPS3","GPS","1.988.900","18,29","-0,33%"
"MTRE3","Mitre Realty","1.760.800","3,43","-5,51%"
"ODPV3","Odontoprev","1.721.900","13,20","-0,75%"
"SLCE3","SLC Agrícola","1.721.800","15,80","+0,70%"
"TTEN3","3tentos","1.699.700","13,71","+2,77%"
"AMER3","Americanas","1.674.100","5,48","-5,35%"
"LIGT3","Light","1.672.200","5,20","+2,56%"
"IGTI11","Iguatemi","1.637.200","23,04","-0,90%"
"IGTI11","Jereissati Participações","1.637.200","23,04","-0,90%"
"CAML3","Camil Alimentos","1.609.300","4,89","-0,81%"
"JALL3","Jalles Machado","1.566.500","2,63","-0,38%"
"POSI3","Positivo","1.461.100","3,99","-2,21%"
"EZTC3","EZTEC","1.441.400","15,36","-2,10%"
"TAEE11","Taesa","1.440.600","35,83","-0,14%"
"TFCO4","Track & Field","1.417.200","17,02","+1,79%"
"SAPR11","Sanepar","1.248.900","34,90","+0,32%"
"PORT3","Wilson Sons","1.216.300","18,36","+0,05%"
"SEER3","Ser Educacional","1.142.600","9,94","-5,87%"
"MYPK3","Iochpe-Maxion","1.129.200","10,81","-1,55%"
"EVEN3","Even","1.101.600","7,06","-0,42%"
"DASA3","Dasa","1.089.900","1,32","-0,75%"
"SHUL4","Schulz","1.064.100","4,46","-1,11%"
"KEPL3","Kepler Weber","992.800","7,16","+0,28%"
